"","ctrl_A","ctrl_B","IL6_A","IL6_B","IL10_A","IL10_B","IL6IL10_A","IL6IL10_B","X1","X2","X3","X4"
"Rps19",1616.545372,1480.468664,1652.593686,1432.52517,1612.920352,1428.426807,1632.745298,1459.105438,0,0,0,0
"Cd79a",69.76459684,95.09433612,53.10959892,43.69357818,70.84704343,45.27355339,59.58924446,34.87901446,0,0,0,0
"Arhgef1",5869.195868,6004.957078,5130.387256,5588.616714,5064.183468,5279.450695,5206.113657,5142.329365,0,0,0,0
"Rabac1",3146.383317,3010.986979,2906.865381,2591.445315,2691.267559,2513.144188,2702.372236,2717.075227,0,0,0,0
"Atp1a3",5427.685634,6221.171568,3900.014881,4070.785034,3873.585102,4177.178263,3485.970801,3573.936349,0,0,0,0
"Grik5",36.87557261,64.06355275,44.2579991,53.05648779,37.7237504,48.0454036,43.69877927,33.71638065,0,0,0,0
"Zfp574",585.0259764,547.5431774,570.9281884,602.3471849,600.8197319,645.8410984,599.8650609,582.4795415,0,0,0,0
"Pou2f2",2528.468317,2285.267046,2650.168986,2999.252045,2811.799542,2965.879722,2465.008412,2925.18668,0,0,0,0
"Dedd2",496.3252747,489.4855828,369.1117125,413.0083461,401.1598823,468.4426851,404.2137082,367.3922857,0,0,0,0
"Zfp526",390.6817423,372.3694004,344.327233,360.9921816,285.2283566,342.7854757,335.6860771,367.3922857,0,0,0,0
"Gsk3a",1736.141824,1731.71791,2032.327319,1936.041643,1865.025416,1950.458596,1999.219152,1897.418387,0,0,0,0
"9130221H12Rik",118.5998146,104.1032732,99.13791798,117.5565318,90.16896436,130.2769598,107.26064,125.5644521,0,0,0,0
"Erf",1480.00609,1546.534203,1958.85904,2034.872355,2015.920417,2046.549403,2045.897393,2138.083587,0,0,0,0
"Cic",10048.09522,10014.93508,12696.73478,13247.47678,11788.21195,12486.26124,12462.09732,12957.55387,0,0,0,0
"Pafah1b3",450.4799682,369.3664213,318.6575935,305.8550473,333.0731132,273.4892205,355.5491586,289.49582,0,0,0,0
"Megf8",1512.895114,1696.683155,1424.222411,1513.670387,1377.376935,1589.194119,1282.16191,1371.907902,0,0,0,0
"Lipe",1119.223461,1028.019823,1367.572172,1397.154179,1346.093825,1279.670846,1448.01864,1412.600086,0,0,0,0
"Ceacam1",479.382444,504.5004779,370.8820324,398.4438201,339.5137536,441.6481331,355.5491586,390.644962,0,0,0,0
"Ceacam2",40.86212101,52.05163661,42.48767913,40.57260831,44.16439071,32.33825242,21.84938963,38.36691591,0,0,0,0
"Dmac2",722.5618958,702.6970943,571.8133484,543.0487574,554.8151583,546.0544909,493.5975749,467.3787938,0,0,0,0
"B3gnt8",1741.12501,1728.714931,1176.377616,1103.783011,1263.285593,1204.83089,1068.633784,966.1487006,0,0,0,0
"Bckdha",1467.049808,1519.507392,928.5328211,920.6861117,927.4522048,910.0908182,869.009815,812.681037,0,0,0,0
"Exosc5",475.3958956,485.4816107,468.2496305,397.4034968,416.8014373,392.6787794,427.0562519,395.2954972,0,0,0,0
"B9d2",280.0550245,269.2671202,277.0550744,272.564702,293.5091799,313.2190735,302.9119927,304.6100596,0,0,0,0
"Tgfb1",10917.16277,11871.77712,9916.447278,9665.643688,9258.880493,9338.363349,9254.209664,8744.168926,0,0,0,0
"Ccdc97",1480.00609,1530.518315,1520.704849,1491.823598,1532.872394,1515.278113,1402.333553,1434.690128,0,0,0,0
"Hnrnpul1",3732.405931,3960.929348,3751.308004,3928.260743,4035.521201,3846.404138,3874.294044,3513.47939,0,0,0,0
"Axl",9536.820388,10147.06616,6235.066913,6249.222003,6634.779612,5767.296332,5414.676013,5619.00923,0,0,0,0
"Egln2",1680.330147,1661.6484,1859.721122,1856.977073,1848.463769,1789.691284,2106.479792,1934.622669,0,0,0,0
"Rab4b",1363.39955,1336.325671,1865.032082,1892.348065,2026.041424,1844.204338,2042.917931,1875.328344,0,0,0,0
"Mir3101",9.966370977,12.01191614,15.93287968,27.04840554,17.48173799,12.93530097,15.89046519,31.39111302,0,0,0,0
"Snrpa",976.7043557,1065.056565,1362.261212,1252.549241,1215.440836,1190.047689,1295.072913,1421.901156,0,0,0,0
"BC024978",81.72424201,123.1221404,155.7881568,166.4517264,126.0525318,158.9194119,145.9936489,155.7929313,0,0,0,0
"Itpkc",249.1592744,243.2413019,264.6628346,322.5002199,294.4292714,323.3825242,336.6792312,290.6584538,0,0,0,0
"Coq8b",498.3185489,523.5193452,551.4546688,527.4439081,612.7809211,567.3053425,578.0156712,596.4311473,0,0,0,0
"Gm15567",19.93274195,10.00993012,17.70319964,8.32258632,14.72146357,24.0227018,16.88361926,16.27687342,0,0,0,0
"Numbl",241.1861776,273.2710922,222.1751555,209.1049813,218.9817706,216.2043162,145.0004948,158.1181989,0,0,0,0
"Shkbp1",1386.322203,1443.431923,1460.51397,1586.493017,1436.262789,1515.278113,1513.566809,1580.019355,0,0,0,0
"Sptbn4",21.92601615,29.02879734,24.7844795,30.16937541,21.16210388,31.41430235,17.87677334,31.39111302,0,0,0,0
"Blvrb",6558.86874,6749.695878,5937.653159,5680.165164,5520.548838,5320.104498,5818.889721,5289.98386,0,0,0,0
"Sertad3",564.0965973,542.5382124,552.3398288,525.3632615,557.5754327,544.2065908,542.2621246,515.0467802,0,0,0,0
"Sertad1",747.4778233,688.6831921,1147.167337,1045.524906,1049.824371,969.2236226,1100.414714,1176.585421,0,0,0,0
"Prx",35.87893552,37.03674144,77.89407841,59.29842753,58.88585428,58.20885436,53.63032001,62.78222603,0,0,0,0
"Pld3",25658.42208,27857.63552,22936.26545,22779.95908,22753.86213,22190.50881,22185.07571,22474.87429,0,0,0,0
"2310022A10Rik",2084.964808,2172.154836,1788.023164,1816.404464,1771.176086,1858.063589,1695.314005,1843.937231,0,0,0,0
"Akt2",2456.710446,2629.608642,3281.288053,3056.469826,3142.11238,3049.035228,3417.44317,3236.772542,0,0,0,0
"Map3k10",500.311823,494.4905478,454.0870708,532.6455245,444.4041815,485.9977364,470.7550312,455.7524556,0,0,0,0
"Zfp607b",19.93274195,29.02879734,16.81803966,23.92743567,18.40182946,25.87060194,15.89046519,20.92740868,0,0,0,0
"Zfp60",262.1155567,294.2919455,241.6486751,253.8388828,298.1096373,303.0556227,269.1447541,259.2673408,0,0,0,0
